t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,1.03,0.9776,1.038,0.97,ok,114637.0,NBSE,,0.9952,114086.7424,114637.0,0.9952
1652227200,1.0,0.8998,1.08,0.89,ok,82291.0,NBSE,,0.9566,78719.5706,196928.0,0.3997378260074749
1652313600,0.9666,0.94,0.9666,0.8986,ok,53503.0,NBSE,,0.9350666666666667,50028.87186666667,250431.0,0.1997710821210899
1652400000,0.97,0.9524,1.05,0.94,ok,50481.0,NBSE,,0.9808,49511.7648,300912.0,0.16453901738714308
1652659200,0.99,0.96,1.0,0.9408,ok,43552.0,NBSE,,0.9669333333333333,42111.88053333333,344464.0,0.12225335748680073
1652745600,1.0,1.03,1.07,0.94,ok,73554.0,NBSE,,1.0133333333333334,74534.72,418018.0,0.1783050490648728
1652832000,1.01,1.01,1.02,0.982,ok,10250.0,NBSE,,1.0039999999999998,10290.999999999998,428268.0,0.024029346110379476
1652918400,0.9709,1.0,1.04,0.9709,ok,10388.0,NBSE,,1.0036333333333334,10425.743066666668,438656.0,0.02376746942174886
1653004800,1.06,1.0,1.06,0.983,ok,81908.0,NBSE,,1.0143333333333333,83082.01466666667,520564.0,0.15960000051226492
1653264000,1.035,1.0,1.035,1.0,ok,33231.0,NBSE,,1.0116666666666667,33618.695,553795.0,0.06070602840401231
1653350400,0.97,1.01,1.03,0.97,ok,102403.0,NBSE,,1.0033333333333332,102744.34333333332,656198.0,0.15657521561073537
1653436800,0.98,0.9656,1.03,0.9569,ok,22802.0,NBSE,,0.9841666666666665,22440.96833333333,679000.0,0.033050027000490916
1653523200,0.97,0.96,1.04,0.9546,ok,70707.0,NBSE,,0.9848666666666667,69636.9674,749707.0,0.09288557716547931
1653609600,1.04,1.02,1.04,0.98,ok,129020.0,NBSE,55.9217877094972,1.0133333333333334,130740.26666666668,878727.0,0.14878371401660206
1653955200,1.03,1.02,1.06,1.01,ok,79222.0,NBSE,55.9217877094972,1.03,81598.66,957949.0,0.08518058894575807
