time,open,high,low,close,volume,ticker,percent_change,spike,cumulative_percent
2021-11-24 17:00:00,5.26,5.26,5.26,5.26,300,UONE,,False,
2021-11-24 16:00:00,5.2899,5.2999,5.24,5.26,12358,UONE,0.0,False,
2021-11-24 15:00:00,5.2816,5.33,5.24,5.2999,17757,UONE,0.7585551330798523,False,
2021-11-24 14:00:00,5.3,5.37,5.28,5.28,59573,UONE,-0.3754787826185324,False,
2021-11-24 13:00:00,5.2801,5.3,5.25,5.2666,15206,UONE,-0.2537878787878811,False,
2021-11-24 12:00:00,5.31,5.32,5.26,5.3,45218,UONE,0.6341852428511707,False,
2021-11-24 11:00:00,5.24,5.37,5.24,5.3261,40427,UONE,0.49245283018868324,False,
2021-11-24 10:00:00,5.39,5.39,5.21,5.245,16627,UONE,-1.5226901485139277,False,
2021-11-23 19:00:00,5.39,5.39,5.39,5.39,300,UONE,2.764537654909427,False,
2021-11-23 18:00:00,5.27,5.27,5.27,5.27,150,UONE,-2.226345083487946,False,
2021-11-23 17:00:00,5.35,5.35,5.3,5.3,2625,UONE,0.569259962049351,False,
2021-11-23 16:00:00,5.34,5.36,5.28,5.31,26942,UONE,0.18867924528300772,False,
2021-11-23 15:00:00,5.33,5.36,5.32,5.36,3453,UONE,0.9416195856873921,False,
2021-11-23 14:00:00,5.31,5.37,5.31,5.37,8045,UONE,0.1865671641791078,False,
2021-11-23 13:00:00,5.35,5.35,5.26,5.3101,12548,UONE,-1.1154562383612676,False,
2021-11-23 12:00:00,5.37,5.4,5.27,5.31,41209,UONE,-0.0018832037061544682,False,
2021-11-23 11:00:00,5.49,5.54,5.35,5.38,32215,UONE,1.318267419962349,False,
2021-11-23 10:00:00,5.44,5.53,5.43,5.513,21473,UONE,2.4721189591078163,False,
2021-11-23 08:00:00,5.5,5.5,5.46,5.46,3152,UONE,-0.9613640486123676,False,
2021-11-22 20:00:00,5.5,5.59,5.5,5.59,2500,UONE,2.3809523809523725,False,
2021-11-22 18:00:00,5.51,5.59,5.51,5.59,3324,UONE,0.0,False,
2021-11-22 16:00:00,5.58,5.58,5.5,5.54,37033,UONE,-0.8944543828264706,False,
2021-11-22 15:00:00,5.55,5.6,5.51,5.5781,17276,UONE,0.687725631768954,False,
2021-11-22 14:00:00,5.52,5.55,5.49,5.53,14489,UONE,-0.8623007834208773,False,
2021-11-22 13:00:00,5.51,5.5684,5.47,5.549,14196,UONE,0.34358047016274096,False,
2021-11-22 12:00:00,5.5848,5.6099,5.4838,5.49,52498,UONE,-1.0632546404757637,False,
2021-11-22 11:00:00,5.6802,5.76,5.5704,5.5846,34432,UONE,1.723132969034613,False,
2021-11-22 10:00:00,5.71,5.79,5.55,5.688,61723,UONE,1.8515202521218965,False,
2021-11-22 09:00:00,5.85,5.85,5.71,5.7101,8643,UONE,0.38853727144867456,False,
2021-11-19 20:00:00,5.77,5.77,5.77,5.77,175,UONE,1.0490184059823715,False,
2021-11-19 18:00:00,5.71,5.77,5.71,5.77,2453,UONE,0.0,False,
2021-11-19 17:00:00,5.73,5.79,5.73,5.79,2611,UONE,0.34662045060658286,False,
2021-11-19 16:00:00,5.8983,5.98,5.71,5.77,129361,UONE,-0.3454231433506094,False,
2021-11-19 15:00:00,5.8,6.07,5.795,5.89,228715,UONE,2.0797227036395194,False,
2021-11-19 14:00:00,5.61,5.9323,5.61,5.8041,283590,UONE,-1.4584040747028792,False,
2021-11-19 13:00:00,5.62,5.65,5.61,5.61,8425,UONE,-3.3441877293637234,False,
2021-11-19 12:00:00,5.66,5.71,5.6301,5.65,80733,UONE,0.7130124777183555,False,
2021-11-19 11:00:00,5.6,5.67,5.58,5.63,31025,UONE,-0.3539823008849585,False,
2021-11-19 10:00:00,5.62,5.68,5.57,5.6081,22440,UONE,-0.38898756660745715,False,
2021-11-19 09:00:00,5.58,5.58,5.58,5.58,400,UONE,-0.501060965389355,False,
2021-11-18 20:00:00,5.65,5.65,5.65,5.65,144,UONE,1.2544802867383575,False,
2021-11-18 18:00:00,5.606,5.61,5.6,5.6,1456,UONE,-0.8849557522124019,False,
2021-11-18 17:00:00,5.74,5.74,5.7,5.7,674,UONE,1.7857142857143016,False,
2021-11-18 16:00:00,5.6954,5.75,5.64,5.66,33543,UONE,-0.7017543859649145,False,
2021-11-18 15:00:00,5.66,5.7486,5.65,5.69,25115,UONE,0.5300353356890497,False,
2021-11-18 14:00:00,5.67,5.7,5.65,5.6501,10103,UONE,-0.7012302284710059,False,
2021-11-18 13:00:00,5.66,5.7392,5.65,5.6956,10299,UONE,0.8052954814959046,False,
2021-11-18 12:00:00,5.6,5.7,5.6,5.665,10864,UONE,-0.5372568298335545,False,
2021-11-18 11:00:00,5.7271,5.75,5.53,5.605,53071,UONE,-1.0591350397175625,False,
2021-11-18 10:00:00,5.85,5.9077,5.7,5.7299,19927,UONE,2.228367528991959,False,
2021-11-18 09:00:00,5.85,5.93,5.85,5.93,1210,UONE,3.4922075428890587,False,
2021-11-18 08:00:00,5.92,5.92,5.92,5.92,100,UONE,-0.1686340640809414,False,
2021-11-17 20:00:00,5.9,5.9,5.9,5.9,200,UONE,-0.33783783783782884,False,
2021-11-17 19:00:00,5.9,5.9,5.9,5.9,100,UONE,0.0,False,
2021-11-17 18:00:00,5.9299,5.93,5.9299,5.93,200,UONE,0.5084745762711673,False,
2021-11-17 17:00:00,5.91,5.91,5.85,5.89,1300,UONE,-0.6745362563237767,False,
2021-11-17 16:00:00,5.8727,5.9,5.85,5.86,36365,UONE,-0.5093378607809784,False,
2021-11-17 15:00:00,5.8923,5.92,5.87,5.87,18737,UONE,0.17064846416381396,False,
2021-11-17 14:00:00,5.9001,5.92,5.89,5.8915,15653,UONE,0.3662691652470018,False,
2021-11-17 13:00:00,5.9099,5.9202,5.8601,5.8901,8077,UONE,-0.023763048459635172,False,
2021-11-17 12:00:00,5.88,5.94,5.852,5.9005,31698,UONE,0.17656746065430884,False,
2021-11-17 11:00:00,6.01,6.05,5.8747,5.89,28260,UONE,-0.17795102109990912,False,
2021-11-17 10:00:00,5.89,6.06,5.89,6.01,24903,UONE,2.037351443123936,False,
2021-11-17 09:00:00,6.0252,6.0252,5.88,5.95,4001,UONE,-0.9983361064891727,False,
2021-11-17 06:00:00,5.95,5.95,5.95,5.95,450,UONE,0.0,False,
2021-11-16 19:00:00,6.01,6.01,6.01,6.01,376,UONE,1.0084033613445342,False,
2021-11-16 18:00:00,6.05,6.05,6.05,6.05,200,UONE,0.6655574043261225,False,
2021-11-16 17:00:00,5.97,6.07,5.95,6.07,895,UONE,0.33057851239670644,False,
2021-11-16 16:00:00,5.94,6.03,5.93,5.94,74680,UONE,-2.1416803953871466,False,
2021-11-16 15:00:00,5.915,5.99,5.89,5.93,24318,UONE,-0.16835016835018424,False,
2021-11-16 14:00:00,5.83,5.91,5.83,5.905,19932,UONE,-0.4215851602023535,False,
2021-11-16 13:00:00,5.94,5.9432,5.81,5.84,58238,UONE,-1.1007620660457351,False,
2021-11-16 12:00:00,5.9984,6.002,5.87,5.93,54782,UONE,1.5410958904109595,False,
2021-11-16 11:00:00,6.02,6.055,5.86,5.9843,127805,UONE,0.9156829679595413,False,
2021-11-16 10:00:00,6.19,6.2,6.02,6.04,44674,UONE,0.9307688451448026,False,
2021-11-15 17:00:00,6.18,6.18,6.17,6.17,343,UONE,2.1523178807947074,False,
2021-11-15 16:00:00,6.2199,6.24,6.17,6.18,25766,UONE,0.16207455429497752,False,
2021-11-15 15:00:00,6.2,6.23,6.1701,6.195,6326,UONE,0.24271844660195274,False,
2021-11-15 14:00:00,6.21,6.24,6.183,6.21,27931,UONE,0.2421307506053294,False,
2021-11-15 13:00:00,6.2199,6.24,6.1643,6.2003,11292,UONE,-0.1561996779388064,False,
2021-11-15 12:00:00,6.23,6.25,6.1828,6.22,21949,UONE,0.3177265616179703,False,
2021-11-15 11:00:00,6.27,6.285,6.2,6.225,32190,UONE,0.0803858520900258,False,
2021-11-15 10:00:00,6.36,6.425,6.2664,6.2664,40118,UONE,0.6650602409638662,False,
2021-11-15 09:00:00,6.26,6.29,6.26,6.29,4427,UONE,0.3766117707136418,False,
2021-11-12 17:00:00,6.25,6.25,6.25,6.25,1267,UONE,-0.6359300476947549,False,
2021-11-12 16:00:00,6.31,6.32,6.24,6.24,30481,UONE,-0.15999999999999348,False,
2021-11-12 15:00:00,6.25,6.3,6.2305,6.3,10234,UONE,0.9615384615384581,False,
2021-11-12 14:00:00,6.2581,6.26,6.215,6.255,20965,UONE,-0.7142857142857117,False,
2021-11-12 13:00:00,6.2569,6.2659,6.22,6.25,23448,UONE,-0.07993605115906854,False,
2021-11-12 12:00:00,6.35,6.35,6.2363,6.25,16409,UONE,0.0,False,
2021-11-12 11:00:00,6.39,6.416,6.28,6.355,34247,UONE,1.6800000000000148,False,
2021-11-12 10:00:00,6.38,6.4341,6.3001,6.39,20191,UONE,0.5507474429582881,False,
2021-11-12 09:00:00,6.5,6.5496,6.5,6.5496,2000,UONE,2.4976525821596374,False,
2021-11-12 05:00:00,6.2,6.2,6.2,6.2,1480,UONE,-5.3377305484304305,False,
2021-11-11 20:00:00,6.42,6.42,6.41,6.41,9986,UONE,3.3870967741935543,False,
2021-11-11 18:00:00,6.48,6.48,6.48,6.48,150,UONE,1.0920436817472678,False,
2021-11-11 17:00:00,6.44,6.44,6.4,6.4,13063,UONE,-1.2345679012345734,False,
2021-11-11 16:00:00,6.46,6.48,6.42,6.42,21449,UONE,0.31249999999998224,False,
2021-11-11 15:00:00,6.4,6.4596,6.36,6.45,30680,UONE,0.4672897196261738,False,
2021-11-11 14:00:00,6.3668,6.39,6.34,6.39,12226,UONE,-0.9302325581395432,False,
2021-11-11 13:00:00,6.375,6.42,6.36,6.36,31062,UONE,-0.46948356807510194,False,
2021-11-11 12:00:00,6.34,6.38,6.3021,6.3659,11679,UONE,0.09276729559748453,False,
2021-11-11 11:00:00,6.33,6.38,6.27,6.34,44103,UONE,-0.4068552757661936,False,
2021-11-11 10:00:00,6.17,6.4,6.08,6.33,51550,UONE,-0.1577287066246047,False,
2021-11-11 09:00:00,6.1,6.1,6.05,6.1,2669,UONE,-3.6334913112164413,False,
2021-11-11 08:00:00,6.03,6.1,6.02,6.05,8687,UONE,-0.8196721311475419,False,
2021-11-11 07:00:00,6.19,6.2,6.18,6.18,1361,UONE,2.148760330578514,False,
2021-11-10 20:00:00,6.25,6.48,6.17,6.17,2126,UONE,-0.16181229773462036,False,
2021-11-10 19:00:00,6.17,6.25,6.17,6.25,3989,UONE,1.296596434359798,False,
2021-11-10 18:00:00,6.23,6.23,6.17,6.17,704,UONE,-1.2800000000000034,False,
2021-11-10 17:00:00,6.25,6.25,6.17,6.17,8600,UONE,0.0,False,
