time,open,high,low,close,volume,ticker,percent_change,spike,cumulative_percent
2023-05-17 17:00:00,5.66,5.66,5.66,5.66,8758,TPC,,False,
2023-05-17 16:00:00,5.67,5.73,5.66,5.66,103022,TPC,0.0,False,
2023-05-17 15:00:00,5.62,5.685,5.6,5.67,58831,TPC,0.17667844522968323,False,
2023-05-17 14:00:00,5.53,5.63,5.53,5.62,20412,TPC,-0.8818342151675429,False,
2023-05-17 13:00:00,5.44,5.55,5.43,5.53,39768,TPC,-1.6014234875444844,False,
2023-05-17 12:00:00,5.33,5.43,5.285,5.43,62078,TPC,-1.8083182640144746,False,
2023-05-17 11:00:00,5.12,5.35,5.11,5.33,46588,TPC,-1.8416206261510082,False,
2023-05-17 10:00:00,5.24,5.26,5.12,5.12,25959,TPC,-3.9399624765478425,False,
2023-05-16 17:00:00,5.18,5.18,5.15,5.15,12550,TPC,0.5859375,False,
2023-05-16 16:00:00,5.165,5.2,5.105,5.2,131443,TPC,0.9708737864077666,False,
2023-05-16 15:00:00,5.2,5.21,5.15,5.16,54583,TPC,-0.7692307692307665,False,
2023-05-16 14:00:00,5.18,5.24,5.17,5.205,54141,TPC,0.8720930232558155,False,
2023-05-16 13:00:00,5.085,5.19,5.085,5.19,49247,TPC,-0.2881844380403398,False,
2023-05-16 12:00:00,5.17,5.17,5.055,5.0801,119069,TPC,-2.1175337186898013,False,
2023-05-16 11:00:00,5.182,5.22,5.165,5.165,32719,TPC,1.6712269443514893,False,
2023-05-16 10:00:00,5.21,5.275,5.1618,5.19,21752,TPC,0.4840271055179146,False,
2023-05-15 16:00:00,5.27,5.28,5.23,5.27,83196,TPC,1.541425818882458,False,
2023-05-15 15:00:00,5.3,5.3,5.27,5.27,23101,TPC,0.0,False,
2023-05-15 14:00:00,5.315,5.35,5.3,5.31,20707,TPC,0.7590132827324458,False,
2023-05-15 13:00:00,5.32,5.3309,5.2863,5.315,33935,TPC,0.09416195856875031,False,
2023-05-15 12:00:00,5.36,5.375,5.32,5.32,14264,TPC,0.09407337723423836,False,
2023-05-15 11:00:00,5.37,5.39,5.3313,5.375,10540,TPC,1.0338345864661536,False,
2023-05-15 10:00:00,5.46,5.49,5.38,5.38,11439,TPC,0.09302325581395099,False,
2023-05-12 16:00:00,5.44,5.49,5.43,5.465,63292,TPC,1.5799256505576231,False,
2023-05-12 15:00:00,5.435,5.47,5.43,5.44,13586,TPC,-0.45745654162853144,False,
2023-05-12 14:00:00,5.46,5.51,5.435,5.435,25243,TPC,-0.09191176470589868,False,
2023-05-12 13:00:00,5.47,5.47,5.43,5.44,13587,TPC,0.09199632014720294,False,
2023-05-12 12:00:00,5.51,5.51,5.43,5.48,18148,TPC,0.7352941176470562,False,
2023-05-12 11:00:00,5.62,5.68,5.49,5.49,23073,TPC,0.18248175182480342,False,
2023-05-12 10:00:00,5.58,5.7,5.52,5.63,20987,TPC,2.5500910746812266,False,
2023-05-11 17:00:00,5.57,5.57,5.57,5.57,15339,TPC,-1.0657193605683735,False,
2023-05-11 16:00:00,5.51,5.64,5.505,5.57,110988,TPC,0.0,False,
2023-05-11 15:00:00,5.5275,5.55,5.5,5.51,13447,TPC,-1.0771992818671583,False,
2023-05-11 14:00:00,5.57,5.59,5.49,5.52,25374,TPC,0.1814882032667775,False,
2023-05-11 13:00:00,5.545,5.565,5.515,5.565,15698,TPC,0.8152173913043681,False,
2023-05-11 12:00:00,5.5,5.55,5.5,5.54,36591,TPC,-0.4492362982929099,False,
2023-05-11 11:00:00,5.46,5.51,5.38,5.5,34470,TPC,-0.7220216606498187,False,
2023-05-11 10:00:00,5.35,5.5,5.31,5.46,26094,TPC,-0.727272727272732,False,
2023-05-10 17:00:00,5.47,5.47,5.47,5.47,9158,TPC,0.1831501831501825,False,
2023-05-10 16:00:00,5.43,5.5,5.415,5.465,122095,TPC,-0.0914076782449702,False,
2023-05-10 15:00:00,5.42,5.44,5.36,5.43,34134,TPC,-0.6404391582799707,False,
2023-05-10 14:00:00,5.44,5.45,5.395,5.41,30180,TPC,-0.36832412523019054,False,
2023-05-10 13:00:00,5.49,5.5,5.44,5.44,27239,TPC,0.5545286506469571,False,
2023-05-10 12:00:00,5.52,5.52,5.43,5.49,33035,TPC,0.9191176470588092,False,
2023-05-10 11:00:00,5.54,5.54,5.47,5.51,20168,TPC,0.36429872495444826,False,
2023-05-10 10:00:00,5.55,5.58,5.48,5.53,8124,TPC,0.3629764065335772,False,
2023-05-09 17:00:00,5.36,5.36,5.36,5.36,4500,TPC,-3.074141048824597,False,
2023-05-09 16:00:00,5.36,5.47,5.35,5.425,130146,TPC,1.2126865671641784,False,
2023-05-09 15:00:00,5.375,5.395,5.35,5.36,23476,TPC,-1.1981566820276401,False,
2023-05-09 14:00:00,5.32,5.39,5.31,5.37,22446,TPC,0.1865671641791078,False,
2023-05-09 13:00:00,5.3,5.34,5.28,5.32,22323,TPC,-0.9310986964618184,False,
2023-05-09 12:00:00,5.28,5.31,5.25,5.305,24370,TPC,-0.28195488721806106,False,
2023-05-09 11:00:00,5.32,5.32,5.23,5.28,54690,TPC,-0.47125353440149453,False,
2023-05-09 10:00:00,5.38,5.43,5.295,5.31,18566,TPC,0.5681818181818121,False,
2023-05-08 19:00:00,5.61,5.61,5.61,5.61,100,TPC,5.649717514124308,False,
2023-05-08 17:00:00,5.47,5.47,5.47,5.47,100,TPC,-2.4955436720142665,False,
2023-05-08 16:00:00,5.4801,5.555,5.4,5.46,116184,TPC,-0.1828153564899404,False,
