date, open, high, low, close, volume,ticker
2023-05-16 20:00:00,3.9900,3.9900,3.9600,3.9900,3132,UCAR
2023-05-16 19:00:00,3.9786,3.9900,3.9213,3.9900,2220,UCAR
2023-05-16 18:00:00,3.9400,3.9700,3.9400,3.9700,2130,UCAR
2023-05-16 17:00:00,3.9100,3.9400,3.8900,3.9219,3556,UCAR
2023-05-16 16:00:00,3.9190,3.9766,3.8000,3.8600,73565,UCAR
2023-05-16 15:00:00,3.9930,3.9930,3.8700,3.8800,60229,UCAR
2023-05-16 14:00:00,3.9757,4.0287,3.9400,3.9953,26678,UCAR
2023-05-16 13:00:00,4.0000,4.0492,3.9600,3.9700,23767,UCAR
2023-05-16 12:00:00,4.0350,4.0850,3.9801,4.0001,18653,UCAR
2023-05-16 11:00:00,4.0500,4.1200,3.9300,4.0450,36252,UCAR
2023-05-16 10:00:00,4.1600,4.1600,3.9300,4.0449,49752,UCAR
2023-05-16 09:00:00,4.0600,4.2300,4.0400,4.1600,4752,UCAR
2023-05-16 08:00:00,4.0900,4.1000,4.0500,4.0500,2083,UCAR
2023-05-16 07:00:00,4.2400,4.2400,4.2400,4.2400,100,UCAR
2023-05-16 05:00:00,4.0600,4.2700,4.0600,4.2700,1525,UCAR
2023-05-15 19:00:00,4.1100,4.1100,4.1100,4.1100,200,UCAR
2023-05-15 18:00:00,4.1399,4.1400,4.0900,4.0900,514,UCAR
2023-05-15 17:00:00,4.0500,4.2300,4.0500,4.1300,2267,UCAR
2023-05-15 16:00:00,4.1800,4.2200,4.1200,4.1900,40521,UCAR
2023-05-15 15:00:00,4.1700,4.2000,4.1100,4.1700,21255,UCAR
2023-05-15 14:00:00,4.2000,4.2000,4.0795,4.1400,29698,UCAR
2023-05-15 13:00:00,4.1300,4.2200,4.1000,4.1600,42639,UCAR
2023-05-15 12:00:00,4.2250,4.2250,4.0800,4.1250,40976,UCAR
2023-05-15 11:00:00,3.9800,4.3700,3.8800,4.2150,167756,UCAR
2023-05-15 10:00:00,4.0600,4.1500,3.9015,3.9797,35122,UCAR
2023-05-15 09:00:00,3.9600,4.1200,3.9600,4.0000,10750,UCAR
2023-05-15 08:00:00,4.0000,4.0200,4.0000,4.0200,365,UCAR
2023-05-15 07:00:00,4.0800,4.0800,4.0800,4.0800,125,UCAR
2023-05-12 20:00:00,4.0900,4.0900,3.9500,3.9500,1512,UCAR
2023-05-12 19:00:00,3.9900,4.2500,3.9600,3.9600,3678,UCAR
2023-05-12 18:00:00,3.9894,3.9894,3.9200,3.9200,1169,UCAR
2023-05-12 17:00:00,3.9000,3.9900,3.9000,3.9100,1341,UCAR
