date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker,vwap,rsi,spikes
2004-12-27,3.05,3.05,3.05,3.05,2.24446602713918,0,0.0,1.0,HNRG,2.119658119658121,96.55539258976489,45.238095238095234
2004-06-02,3.5,3.5,3.5,3.5,2.5756167524548,0,0.0,1.0,HNRG,2.9583333333333375,79.73746704740866,25.0
2004-03-16,1.5,1.5,1.5,1.5,1.10383575105206,0,0.0,1.0,HNRG,1.3485185185185196,34.6399316318266,30.434782608695656
2003-12-30,1.25,2.0,1.25,2.0,1.47178100140274,2000,0.0,1.0,HNRG,1.419444444444445,75.36903310019554,66.66666666666667
2003-10-24,1.03,1.03,1.03,1.03,0.757967215722412,0,0.0,1.0,HNRG,0.816666666666667,80.80401587140429,47.14285714285715
2003-01-27,1.05,1.05,1.05,1.05,0.77268502573644,0,0.0,1.0,HNRG,0.8208474576271193,67.05093490039863,50.00000000000002
2002-12-26,0.9,0.9,0.9,0.9,0.662301450631234,0,0.0,1.0,HNRG,0.8625000000000013,51.48260499583244,28.57142857142858
2002-10-25,1.1,3.5,1.1,3.5,2.5756167524548,1500,0.0,1.0,HNRG,2.2400000000000015,99.52837074909257,218.18181818181816
2002-10-22,2.0,2.0,2.0,2.0,1.47178100140274,0,0.0,1.0,HNRG,2.155555555555557,58.082748920055934,81.81818181818181
2002-06-11,1.7,1.7,1.7,1.7,1.25101385119233,0,0.0,1.0,HNRG,1.4000000000000024,98.93101144707299,25.92592592592591
2002-04-26,2.5,2.5,2.5,2.5,1.83972625175343,0,0.0,1.0,HNRG,1.7000000000000122,99.95208716831789,47.058823529411775
2002-04-09,2.5,2.5,2.5,2.5,1.83972625175343,0,0.0,1.0,HNRG,2.0642857142857194,71.36255678869091,47.058823529411775
2001-12-13,2.5,2.5,2.5,2.5,1.83972625175343,0,0.0,1.0,HNRG,1.7931034482758628,99.0812006525932,25.0
2001-12-07,3.62,3.62,3.62,3.62,2.66392361253896,0,0.0,1.0,HNRG,2.1532258064516134,99.6843697632495,44.8
2000-06-07,3.75,3.75,3.75,3.75,2.75958937763014,0,0.0,1.0,HNRG,3.0206666666666675,96.17097313311487,25.0
2000-02-25,1.05,1.05,1.05,1.05,0.77268502573644,0,0.0,1.0,HNRG,0.9773815261044186,47.22872050630362,34.44302176696543
2022-06-06,13.62,14.5,13.56,13.87,13.87,1551697,0.0,1.0,PMVP,11.348381832908535,58.39325475138561,27.716390423572747
2022-05-27,15.39,18.1187,14.73,15.33,15.33,8938067,0.0,1.0,PMVP,12.607990705630778,61.94411633405028,30.35714285714286
2022-08-08,14.28,14.74,13.95,13.98,13.98,887388,0.0,1.0,HEAR,10.269251346773226,78.80689143139071,46.54088050314466
2018-01-12,0.44,0.62,0.43,0.6197,2.4788,2911414,0.0,1.0,HEAR,0.5255434582319762,54.1228726051425,25.44534412955466
2017-03-08,1.5,1.5,1.22,1.41,5.64,2337181,0.0,1.0,HEAR,1.1457538137070415,83.35613937730265,31.77570093457942
2016-02-01,1.32,1.34,1.19,1.23,4.92,76666,0.0,1.0,HEAR,1.0085906343396223,61.52996571627898,29.47368421052632
2014-11-10,5.67,5.86,5.15,5.2,20.8,182916,0.0,1.0,HEAR,4.060987934402767,78.78210629988763,30.982367758186392
2014-04-23,13.41,13.5,12.7556,13.0,52.0,69300,0.0,1.0,HEAR,9.141921475458561,79.25406751378273,39.48497854077253
2013-08-05,17.29,17.69,17.119,17.69,70.76,44700,0.0,1.0,HEAR,14.927824350249306,64.20837188805001,26.357142857142858
2022-11-15,11.63,11.63,10.06,10.1,10.1,242330,0.0,1.0,PVBC,7.564006830902597,78.46770443992446,27.848101265822777
2019-10-16,22.72,22.725,22.03,22.15,10.6669017201922,110765,0.0,1.0,PVBC,11.539267862358605,92.57217609550044,104.71349353049905
2021-06-09,13.42,14.43,13.35,13.51,13.51,246671,0.0,1.0,KLXE,10.476352667517013,77.06785041144478,31.93359375
2021-04-14,14.04,15.36,14.04,14.46,14.46,136709,0.0,1.0,KLXE,9.272346917374776,70.52012991947828,39.03846153846153
2020-06-10,3.14,3.23,2.65,2.94,14.7,1795500,0.0,1.0,KLXE,2.4786300812408824,50.063846305193174,27.27272727272727
2020-03-06,1.91,2.0,1.75,1.79,8.95,417900,0.0,1.0,KLXE,1.252235781979097,68.10700971696562,49.16666666666667
2019-11-18,7.83,7.9,7.15,7.37,36.85,266600,0.0,1.0,KLXE,5.4013329457954455,65.06863771516882,35.72744014732967
2018-11-08,21.87,21.93,21.56,21.78,21.78,201965,0.0,1.0,MPAA,16.89812561748494,71.76624192506897,26.664728118639136
2008-10-08,5.0,5.02,4.24,5.0,5.0,39500,0.0,1.0,MPAA,4.594813725490161,55.99112596429084,26.582278481012644
2001-02-08,1.5,1.5,1.5,1.5,1.5,0,0.0,1.0,MPAA,1.113609122248711,69.12353876591845,57.89473684210527
2000-11-10,1.3,1.5,1.3,1.35,1.35,81000,0.0,1.0,MPAA,1.0164993014464123,69.35673034008327,27.35849056603774
2000-08-15,0.765,0.78,0.65,0.65,0.65,68100,0.0,1.0,MPAA,0.5032980093520344,53.568780673965406,41.30434782608696
2000-04-12,1.562,2.0,1.562,2.0,2.0,400,0.0,1.0,MPAA,1.2692475592747403,86.73683236294528,52.4390243902439
2020-06-10,15.8,16.08,14.505,14.54,14.54,2436280,0.0,1.0,RRGB,12.041465165375858,69.86335848740546,25.344827586206886
2020-03-13,8.85,9.33,7.75,9.17,9.17,860332,0.0,1.0,RRGB,8.53677442077704,49.8706283780928,52.32558139534884
2020-03-11,14.15,14.205,11.27,11.37,11.37,742149,0.0,1.0,RRGB,8.736832018882852,56.28297038090056,43.74209860935523
2020-03-10,15.72,16.3,13.9001,14.61,14.61,704711,0.0,1.0,RRGB,8.966628808916711,63.39804060621766,28.49604221635884
2020-03-04,26.0,26.55,23.93,24.46,24.46,462020,0.0,1.0,RRGB,10.007939711804152,77.46779770101308,26.933056564608204
2017-11-06,66.85,67.75,65.75,67.05,67.05,980225,0.0,1.0,RRGB,50.13175548498895,79.10868853136844,40.56603773584904
2006-11-02,47.6,47.96,45.64,46.0,46.0,975400,0.0,1.0,RRGB,35.01176870514826,82.34676927014768,35.29411764705883
2006-01-09,52.53,52.78,51.91,51.98,51.98,146700,0.0,1.0,RRGB,38.514435608279385,79.22415815142425,35.753460433533554
2005-08-11,59.41,60.09,59.21,59.79,59.79,455400,0.0,1.0,RRGB,46.117611342637225,77.19049629380531,31.262349066959395
2022-12-06,3.33,3.365,3.26,3.32,3.32,109854,0.0,1.0,DAKT,2.3043079084433313,59.95637636820774,64.35643564356435
2022-08-30,4.25,4.26,4.08,4.11,4.11,107741,0.0,1.0,DAKT,3.139349990378011,85.2503014088544,28.437500000000004
2015-08-24,11.23,11.72,11.02,11.05,9.32258538649472,286668,0.0,1.0,DAKT,8.864898069584033,76.24280546746132,25.425652667423382
2011-02-18,16.29,16.45,16.07,16.26,11.1990243130582,183600,0.0,1.0,DAKT,11.809613011526004,81.7309034090977,36.86868686868687
2008-04-22,19.24,19.24,18.53,18.89,11.9902432804027,211500,0.0,1.0,DAKT,14.9914504566479,65.10691999550336,31.4544189283229
2007-11-13,29.0,29.1,27.61,28.57,18.1345288788304,660300,0.0,1.0,DAKT,21.562159005332965,72.45059970206351,43.64002011060835
2007-04-05,28.05,28.12,27.83,27.91,17.6630762991186,634200,0.0,1.0,DAKT,23.47781779678233,71.43760911946207,26.118391323994583
2007-02-13,39.0,39.0,37.9,38.09,24.1055742111583,874400,0.0,1.0,DAKT,28.911333920773057,87.86825076053223,26.586905948820228
2006-08-15,30.18,31.14,29.3,30.97,19.5996228227769,998400,0.0,1.0,DAKT,22.72591465781067,83.9760203509387,38.258928571428584
2006-06-22,53.77,54.81,51.57,52.83,16.7169530792268,480300,0.0,1.0,DAKT,29.378992184525117,85.3768894626009,100.64565134827194
2001-10-10,8.35,8.55,8.25,8.49,2.66665427294779,28300,0.0,1.0,DAKT,6.423204849363639,66.34487501850107,36.935483870967744
2001-07-12,14.2,14.7,13.03,13.36,4.19628988063398,143200,0.0,1.0,DAKT,9.858005182855829,76.32089504362887,31.108930323846916
2001-06-22,28.97,29.5,28.76,29.44,4.62345711399193,103700,0.0,1.0,DAKT,15.690500683930026,87.90870251206476,96.00532623169109
2000-02-15,14.38,14.88,14.0,14.19,2.22849376520195,83100,0.0,1.0,DAKT,10.921893296684292,75.87340935827214,26.13333333333332
2000-01-07,26.88,28.44,26.0,28.0,2.19865487757768,96900,0.0,1.0,DAKT,14.218604418190958,87.3319114423829,65.28925619834709
2020-03-17,14.44,16.3,13.9,16.24,14.243660966756,113189,0.0,1.0,FLIC,14.959944305278935,54.96832945595204,27.8740157480315
2016-11-28,38.65,39.0,38.65,38.8,19.4913283519921,21328,0.0,1.0,FLIC,28.157725426976963,81.51955301398854,50.67961165048543
2014-10-15,37.37,37.46,35.44,36.75,11.6339413964621,20845,0.0,1.0,FLIC,25.445488953056064,82.66661136417738,50.122549019607845
2007-04-16,43.662,43.662,43.662,43.662,5.47134553429107,300,0.0,1.0,FLIC,22.03238503118507,93.74834595396699,100.74482758620688
2002-07-24,50.2,52.99,50.2,51.0,3.8873324624309,7900,0.0,1.0,FLIC,35.77972829688535,89.14481982624017,44.6808510638298
2020-03-11,15.31,15.53,14.7,15.04,14.0754543318112,49662,0.0,1.0,LMNR,13.322564744910146,58.6010644226363,30.89643167972149
2010-04-07,168.0,170.0,165.0,165.0,14.0980441953982,1200,0.0,1.0,LMNR,21.789064388054744,98.66800567014722,870.5882352941176
2008-11-14,160.0,160.0,160.0,160.0,13.6165619225548,100,0.0,1.0,LMNR,124.22166666666915,64.01270040365279,28.000000000000004
2019-05-02,3.73,3.79,3.69,3.75,3.75,120890,0.0,1.0,HBIO,2.6824262057142945,86.47220908839688,27.98634812286689
2013-11-01,5.77,5.99,5.47,5.55,4.30125,459600,0.0,1.0,HBIO,4.5135072232947255,79.95903237945218,25.565610859728505
2004-05-06,8.71,8.71,8.1,8.55,6.62625,133200,0.0,1.0,HBIO,4.769903386936928,85.86112538983001,81.91489361702129
2002-09-17,4.881,5.08,4.77,4.78,3.7045,78000,0.0,1.0,HBIO,2.7159099122326427,72.84374817666401,112.44444444444443
2002-07-29,6.44,6.73,6.44,6.44,4.991,82900,0.0,1.0,HBIO,5.225061580560872,75.63077826998838,25.04854368932039
2022-12-09,19.79,19.84,16.87,17.27,17.27,1139005,0.0,1.0,ACET,10.210305769377547,87.5967641526605,65.65947242206234
2020-09-21,17.77,18.89,12.92,13.48,13.48,674760,0.0,1.0,ACET,12.336423552721227,57.00904441775369,32.481572481572485
2020-09-18,16.69,21.4,16.0,21.4,21.4,378899,0.0,1.0,ACET,12.938091898607293,76.08424571407865,58.75370919881304
2019-11-14,8.3,8.338,7.791,7.95,55.6499999999999,234746,0.0,1.0,ACET,1.2724795586180755,95.26705948566331,629.3577981651376
2019-03-18,9.26,10.0,8.25,9.05,63.3499999999999,123363,0.0,1.0,ACET,6.853110843843395,71.38925027083948,29.656160458452717
2020-12-11,2.2,2.29,2.1,2.25,33.75,11109529,0.0,1.0,AADI,1.3016015312433968,84.58001410973397,87.5
2019-03-15,4.1,4.25,3.81,4.25,63.75,652785,0.0,1.0,AADI,1.2120424425150278,95.02941607890514,248.36065573770495
2020-06-08,9.57,11.32,9.5,11.27,11.27,2184178,0.0,1.0,CONN,9.32981189512597,62.84666023853994,26.77165354330708
2020-03-13,4.9,5.85,4.52,5.82,5.82,1624689,0.0,1.0,CONN,4.365133911822726,59.95893600010915,32.87671232876714
2020-03-11,6.67,6.67,5.61,5.77,5.77,1214186,0.0,1.0,CONN,4.563114199557806,57.234677014492,26.813186813186807
2019-12-09,19.42,20.62,19.4,20.5,20.5,992320,0.0,1.0,CONN,13.3788997423339,95.78968648407522,50.18315018315018
2016-06-01,10.82,11.85,10.82,11.71,11.71,878288,0.0,1.0,CONN,8.767492833630609,81.62708009542177,35.68945538818076
2016-03-28,15.96,16.28,15.505,15.65,15.65,530323,0.0,1.0,CONN,12.211318534202418,67.82194836228581,32.51481795088908
2014-12-08,34.88,36.0,34.8606,35.09,35.09,1161825,0.0,1.0,CONN,18.28409073679378,83.64730582562575,68.45895343254924
2014-08-29,44.66,45.51,44.11,44.83,44.83,886000,0.0,1.0,CONN,30.787888081238528,82.3627207481005,44.61290322580644
2014-02-19,56.26,58.34,55.74,55.8,55.8,1245200,0.0,1.0,CONN,34.93938165725521,80.37673834630945,74.97648165569142
2010-10-21,4.85,5.06,4.8,4.91,4.91,100100,0.0,1.0,CONN,4.0104498497687455,64.28157535128659,29.551451187335086
2009-10-19,12.64,12.71,11.98,12.04,12.04,177600,0.0,1.0,CONN,7.573845286985166,89.68216306899724,50.12468827930174
2020-03-17,13.6,14.47,12.17,14.07,12.2472790831631,180672,0.0,1.0,FFIC,11.992813270577676,61.38134598766485,30.519480519480524
2003-12-15,27.49,28.0,27.16,27.16,9.12553923551714,24600,0.0,1.0,FFIC,18.56912005452697,87.85956154113441,49.72436604189636
2001-08-30,23.81,24.05,23.1,23.34,4.97211386040098,18444,0.0,1.0,FFIC,15.09657252324716,80.01420320884664,46.33228840125392
2023-04-17,3.21,3.48,3.19,3.48,3.48,68137,0.0,1.0,UIHC,2.5441665589159763,48.5290010941719,93.33333333333333
2023-02-10,2.44,2.45,1.9,2.05,2.05,691807,0.0,1.0,UIHC,1.5926862403930877,50.12887347534672,86.36363636363633
2022-05-09,2.26,2.26,2.18,2.24,2.24,198388,0.0,1.0,UIHC,1.5949968308191846,67.51986684426636,61.15107913669067
2016-11-01,14.54,14.87,14.28,14.64,12.6551954075022,168392,0.0,1.0,UIHC,12.037771061273425,60.61503924505454,31.53638814016173
2010-11-09,4.15,4.15,4.15,4.15,3.33647522564101,1000,0.0,1.0,UIHC,3.109634146341009,82.28040072619444,60.23166023166024
2010-07-09,2.95,2.95,2.95,2.95,2.37171130497373,0,0.0,1.0,UIHC,2.2199999999962747,95.9945454282456,35.321100917431195
2008-09-29,7.91,7.91,7.91,7.91,6.05501580737765,0,0.0,1.0,UIHC,4.0388097233864,92.69114149897516,79.77272727272727
2022-12-05,7.39,8.13,7.32,7.86,7.86,485911,0.0,1.0,CAAS,6.533911970315274,60.56664979079135,39.36170212765959
2013-08-13,9.7,10.05,9.47,10.0,9.79661016949153,361000,0.0,1.0,CAAS,7.303390429519824,74.2676590910529,26.422250316055628
2012-05-08,4.93,5.53,4.93,5.38,5.27057627118644,150000,0.0,1.0,CAAS,4.319327661333238,78.46770505990531,25.407925407925404
2004-04-19,7.9,8.0,7.5,7.75,7.59237288135593,24200,0.0,1.0,CAAS,5.423483779971551,71.08465311230725,47.61904761904763
2018-11-09,41.7,41.71,38.61,40.19,40.19,2309093,0.0,1.0,BZUN,33.19321332571395,67.63795384503865,26.06649937264742
2017-08-21,35.15,35.15,32.65,34.6,34.6,5195749,0.0,1.0,BZUN,28.845617659570078,58.30134906957522,31.910026686999625
2015-07-06,9.99,10.0,9.54,9.55,9.55,553938,0.0,1.0,BZUN,8.109537179993097,64.04856306693446,28.619528619528634
2023-02-16,23.99,24.88,23.93,24.45,24.45,37965,0.0,1.0,UEIC,13.383862629991103,94.8565756436341,49.26739926739927
2018-05-03,47.3,47.4,45.45,45.45,45.45,74635,0.0,1.0,UEIC,30.17345783881426,82.60892833911305,56.589147286821714
2000-01-31,38.0,38.0,35.25,36.5,18.25,53700,0.0,1.0,UEIC,18.418288540500185,79.74955598491391,100.0
2023-03-16,5.0,5.14,4.945,5.11,5.11,128084,0.0,1.0,LFCR,2.7796315274505714,63.21814642600826,205.98802395209583
2009-01-06,7.19,7.86,7.16,7.35,7.35,150100,0.0,1.0,LFCR,5.766546824628349,70.35463752369591,25.64102564102564
2021-10-07,24.16,25.67,23.52,24.99,24.99,117416,0.0,1.0,NKTX,18.60830011644004,76.28736116937057,38.06629834254143
2007-01-05,34.41,34.41,34.41,34.41,5.76629483418485,0,0.0,1.0,WNEB,10.778894709398058,98.10505136041068,221.88961646398502
2022-09-29,15.1,15.215,13.37,14.03,14.03,1621795,0.0,1.0,FEAM,12.169312485878587,59.789323955052616,38.09055118110236
2022-05-09,25.0,25.32,23.38,23.59,23.59,92709,0.0,1.0,FEAM,22.80840645234503,54.62219514066233,25.212314225053078
2008-01-09,6.13,6.13,5.68,5.79,3.8960909581205,94600,0.0,1.0,RELL,4.845158121317734,72.74854363438206,25.59652928416485
2023-02-21,14.5,14.7,11.16,11.44,11.44,4191317,0.0,1.0,ATNM,10.54955276480767,63.285888442324925,31.04238258877432
2020-12-28,11.12,11.19,10.66,10.72,10.72,687806,0.0,1.0,ATNM,8.383946765979768,70.43324966342055,32.67326732673268
2020-08-05,0.5799,0.587,0.5101,0.5663,16.989,39352152,0.0,1.0,ATNM,0.8611134745206127,18.591600913775437,32.31308411214955
2020-04-21,0.245,0.25,0.22,0.236,7.08000000000001,2164400,0.0,1.0,ATNM,0.18057629629014496,49.70921801595381,34.857142857142854
2019-10-25,0.41,0.41,0.324,0.353,10.59,13689000,0.0,1.0,ATNM,0.2899090794505312,72.32750413189741,41.767068273092356
2019-04-17,0.499,0.5,0.453,0.453,13.59,1227100,0.0,1.0,ATNM,0.31106265531026667,82.04293574085933,46.12903225806453
2017-07-27,0.94,0.98,0.94,0.968,29.04,204300,0.0,1.0,ATNM,0.6816718998065592,84.08962354488243,44.47761194029849
2016-09-28,1.75,1.75,1.67,1.7,51.0,671896,0.0,1.0,ATNM,1.3178884002850901,81.92862982537741,27.819548872180434
2015-07-31,2.26,2.26,2.15,2.26,67.8000000000001,390964,0.0,1.0,ATNM,2.0958709331787766,55.898691990017305,34.52380952380951
2015-02-05,4.67,4.99,4.67,4.99,149.7,79720,0.0,1.0,ATNM,3.713510463166559,79.41810664079208,32.3607427055703
2013-04-19,5.6,5.65,5.6,5.65,169.5,1300,0.0,1.0,ATNM,5.004318488529015,75.03590865598851,25.555555555555554
2023-04-13,3.27,3.53,3.2601,3.5,3.5,670441,0.0,1.0,TAST,3.490953783973909,43.146084773488894,25.448028673835132
2020-03-17,1.51,1.71,1.41,1.42,1.28916853932584,1322780,0.0,1.0,TAST,1.56441348836655,37.52444298920234,32.710280373831765
2020-03-13,2.09,2.14,2.0,2.05,1.86112359550562,1119610,0.0,1.0,TAST,1.5838172377769464,50.475436308752904,33.1168831168831
2012-05-07,14.96,15.15,14.95,15.08,3.91160192616372,55900,0.0,1.0,TAST,5.278055969474767,86.44511876456302,239.6396396396396
2020-11-05,7.95,8.19,7.71,8.0,8.0,411709,0.0,1.0,MRAM,6.284093560200229,81.37540136111407,30.293159609120536
2020-08-06,8.48,8.76,8.37,8.55,8.55,247912,0.0,1.0,MRAM,5.894675134159753,76.60173609586055,34.645669291338606
2020-03-05,3.75,3.79,3.36,3.38,3.38,110393,0.0,1.0,MRAM,2.5436463327733243,62.63971433044081,34.12698412698412
2020-03-31,4.68,4.785,4.39,4.71,4.71,372566,0.0,1.0,NDLS,4.512552375843856,49.43707762801682,28.688524590163933
2018-10-23,12.45,13.0,12.31,12.67,12.67,479642,0.0,1.0,NDLS,9.850943740418742,81.42863324346865,32.948583420776515
2016-07-25,9.84,10.47,9.84,10.36,10.36,102784,0.0,1.0,NDLS,7.61680308634801,94.3381177294453,29.499999999999993
2015-02-19,26.63,27.93,26.05,27.74,27.74,1658524,0.0,1.0,NDLS,19.608465150003234,84.83932394827161,46.77248677248678
2020-03-30,0.33,0.95,0.3,0.55,5.5,3747793,0.0,1.0,JAKK,0.5246682251440555,50.948827075092105,57.14285714285716
2019-08-12,0.69,0.73,0.69,0.72,7.2,70407,0.0,1.0,JAKK,0.7638184458111903,47.37505043384974,35.849056603773576
2019-05-09,1.03,1.04,1.0,1.03,10.3,22583,0.0,1.0,JAKK,0.8391685464346266,60.599246838656434,27.16049382716048
2018-12-21,2.13,2.16,2.04,2.09,20.9,70087,0.0,1.0,JAKK,1.751040680999879,59.01362458990472,25.149700598802394
2016-12-16,7.1,7.15,6.95,7.05,70.5,253857,0.0,1.0,JAKK,5.089327575448479,78.28591904405994,48.421052631578945
2013-07-17,11.43,11.75,11.34,11.48,114.8,294600,0.0,1.0,JAKK,6.84190970971277,94.6972846853062,64.11722659042174
2011-12-16,17.56,17.79,17.25,17.35,166.856793784902,284500,0.0,1.0,JAKK,14.538232806461348,78.87533608913498,25.270758122743686
2004-10-19,25.2,25.55,18.25,18.81,178.748071977069,5024000,0.0,1.0,JAKK,15.259978983956968,60.20743938446779,45.138888888888864
