date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker,vwap,rsi,spikes
2023-03-20,11.08,11.1,10.62,10.92,10.92,2234899,0.0,1.0,ALT,4.995313486517543,85.97555580092467,120.60606060606061
2022-09-13,19.85,21.62,18.83,20.38,20.38,2155634,0.0,1.0,ALT,13.990094960961176,81.49182446163994,37.05447209145931
2021-06-29,16.36,17.26,15.86,15.9,15.9,3705191,0.0,1.0,ALT,10.248065658918314,80.01541114332343,61.421319796954336
2020-11-06,12.16,12.49,11.99,12.45,12.45,653587,0.0,1.0,ALT,9.560060545190359,56.52300364386719,58.902361199744725
2019-03-07,3.78,5.94,3.37,4.54,4.54,31435225,0.0,1.0,ALT,3.835254058049748,75.34661545263617,57.63888888888891
2018-12-12,3.05,3.12,3.0,3.05,3.05,171285,0.0,1.0,ALT,2.252030340759496,63.66248957843733,26.556016597510368
2018-10-05,4.67,7.6,4.569,7.24,7.24,11963598,0.0,1.0,ALT,5.162350312861598,81.91770683396805,46.55870445344128
2018-09-27,11.17,11.257,8.75,8.78,8.78,606925,0.0,1.0,ALT,5.2266527952853385,71.11672971336799,99.54545454545452
2018-09-26,13.01,13.01,11.12,12.13,12.13,193125,0.0,1.0,ALT,5.3537522056374,78.60645685640463,38.15489749430525
2018-09-21,26.9,33.67,26.0,26.19,26.19,880597,0.0,1.0,ALT,6.306839981136858,90.86104451724664,88.41726618705037
2017-02-03,3.25,3.3,3.2,3.3,25.5076530612245,1244776,0.0,1.0,ALT,1.110684503382887,82.91311811277524,226.7326732673267
2009-12-07,3.5,3.5,3.25,3.26,25.1984693877551,67200,0.0,1.0,ALT,1.4844714909550205,81.60310056340401,110.32258064516127
2008-11-12,1.1,1.18,1.07,1.1,8.50255102040817,32300,0.0,1.0,ALT,0.9570068148360091,44.04130719288586,29.41176470588236
2008-10-21,1.5,1.5,1.5,1.5,11.5943877551021,2100,0.0,1.0,ALT,1.197130317392017,62.67030022423933,31.578947368421062
2022-06-23,1.25,1.25,1.14,1.18,1.18,136630,0.0,1.0,IFRX,1.385662285845916,39.2186489513983,51.08834827144686
2022-03-30,2.29,2.39,2.25,2.39,2.39,155029,0.0,1.0,IFRX,1.8661136755020669,76.05089718000956,30.601092896174876
2020-06-16,7.33,7.3755,6.8,7.2,7.2,545097,0.0,1.0,IFRX,5.294091004544191,77.53355550349531,33.456904541241904
2020-03-02,4.33,6.18,4.3,6.08,6.08,4992749,0.0,1.0,IFRX,4.233719555715046,67.61659430332226,32.46187363834423
2019-06-04,36.97,37.47,36.21,37.29,37.29,192610,0.0,1.0,IFRX,3.5151918056556317,98.05300967712029,1118.627450980392
2022-12-09,5.48,6.07,5.41,5.68,5.68,696988,0.0,1.0,NOTV,4.468814766857134,54.45688542370667,35.23809523809523
2022-11-16,16.4,16.445,15.53,15.85,15.85,230456,0.0,1.0,NOTV,6.860393636566424,85.22195253559876,132.4046920821114
2022-05-20,18.7,18.83,17.1,18.33,18.33,144011,0.0,1.0,NOTV,14.735662369301414,64.7995210518007,39.497716894977145
2021-09-21,40.05,50.33,40.05,49.93,49.93,474346,0.0,1.0,NOTV,35.01967386412983,72.66790034957428,46.37936089123424
2019-11-18,5.27,5.28,5.1,5.15,5.15,36327,0.0,1.0,NOTV,4.3660370142596525,62.28868386067697,27.475247524752476
2010-12-21,3.32,3.75,2.56,2.58,2.58,177300,0.0,1.0,NOTV,2.401446202145458,55.160671794170625,25.85365853658539
2010-12-20,3.0,3.98,2.96,3.55,3.55,308600,0.0,1.0,NOTV,2.571363552404418,67.10529776393913,37.5968992248062
2009-11-06,1.79,1.79,1.325,1.529,1.529,61900,0.0,1.0,NOTV,1.332363201320131,67.79501723790776,27.416666666666668
2009-05-19,1.3,1.7,1.3,1.7,1.7,700,0.0,1.0,NOTV,1.1113790447129943,84.18563848140816,25.73964497041419
2009-03-18,1.54,1.54,1.48,1.48,1.48,200,0.0,1.0,NOTV,1.1869795620437786,61.81082367556198,28.695652173913054
2009-03-13,1.0,1.705,1.0,1.705,1.705,1000,0.0,1.0,NOTV,1.2121602649006467,65.7653386927538,34.251968503937015
2009-03-05,1.4,1.4,1.0,1.0,1.0,3000,0.0,1.0,NOTV,1.0172071530758127,45.54063433013507,33.33333333333333
2008-12-29,2.04,2.0401,1.75,1.75,1.75,6600,0.0,1.0,NOTV,1.3428347004856975,68.84356119510656,29.629629629629626
2008-11-20,3.93,3.98,2.84,3.4,3.4,1500,0.0,1.0,NOTV,2.931026900584785,61.599635478156166,35.999999999999986
2008-11-14,3.7,3.7,3.6,3.6,3.6,2000,0.0,1.0,NOTV,2.9748607305935995,59.808613451612764,26.7605633802817
2005-05-11,8.15,8.75,8.14,8.75,8.75,9600,0.0,1.0,NOTV,6.588020871700425,81.44227180475909,28.09251939686721
2000-10-24,2.69,2.69,2.69,2.69,2.69,0,0.0,1.0,NOTV,2.358343084145896,59.63003981469306,26.588235294117645
2000-07-28,2.969,2.969,2.969,2.969,2.969,100,0.0,1.0,NOTV,2.7695936609686562,54.937899947500966,25.010526315789463
2008-11-19,4.5,4.5,4.5,4.5,3.31150725315617,0,0.0,1.0,HNRG,2.654684095860566,86.03668800150581,76.47058823529413
2008-10-03,5.0,5.0,5.0,5.0,3.67945250350686,0,0.0,1.0,HNRG,2.9955194805194805,69.5070019555752,75.43859649122805
2008-08-04,4.75,4.75,4.75,4.75,3.49547987833151,0,0.0,1.0,HNRG,3.469243986254296,69.99203772768055,26.66666666666666
2008-06-04,4.5,4.5,4.5,4.5,3.31150725315617,400,0.0,1.0,HNRG,3.715,67.19275217412239,28.57142857142858
2008-05-27,4.34,4.34,4.34,4.34,3.19376477304395,0,0.0,1.0,HNRG,3.4500225529995494,58.375763389652,31.51515151515152
2007-03-26,3.25,3.25,3.25,3.25,2.39164412727946,0,0.0,1.0,HNRG,2.5,90.76345216352243,30.000000000000004
2007-01-23,3.0,3.0,3.0,3.0,2.20767150210411,0,0.0,1.0,HNRG,2.606481481481481,70.97892970892956,33.33333333333333
2006-01-26,4.0,4.0,4.0,4.0,2.94356200280548,700,0.0,1.0,HNRG,3.3059259259259264,75.55110682913164,29.032258064516125
2006-01-13,3.9,3.9,3.9,3.9,2.86997295273535,1200,0.0,1.0,HNRG,3.610199004975125,59.61037266368271,25.806451612903224
2005-10-07,3.99,3.99,3.99,3.99,2.93620309779847,0,0.0,1.0,HNRG,3.09,78.93034035869111,30.819672131147556
2005-09-29,3.8,3.8,3.8,3.8,2.79638390266521,0,0.0,1.0,HNRG,3.3466666666666667,61.245381785660456,26.66666666666666
2005-08-31,5.0,5.5,5.0,5.0,3.67945250350686,3100,0.0,1.0,HNRG,3.4791358024691355,73.20787571580335,25.0
2005-05-02,2.3,2.3,2.3,2.3,1.69254815161315,0,0.0,1.0,HNRG,1.9666666666666666,84.95099264553959,27.777777777777768
2005-04-20,3.0,3.0,3.0,3.0,2.20767150210411,0,0.0,1.0,HNRG,2.0588075880758807,95.11673233793123,30.434782608695656
2005-04-11,3.4,3.4,3.4,3.4,2.50202770238466,0,0.0,1.0,HNRG,2.379166666666667,75.39193860630644,47.82608695652175
