Ticker,Description,Pre-market Close,Pre-market Change %,Pre-market Gap %,Pre-market Volume,Price,Change %,Volume,Post-market Close,Post-market Change %,Post-market Volume,Technical Rating,Market Capitalization
FLIC,The First of Long Island Corporation,9.86,0,-1.31845842,1160,9.52,-3.44827586,303627,9.52,0,11496,Sell,214317983.3103450
JWAC,Jupiter Wellness Acquisition Corp.,5.85,4.46428571,0,7889,6.33,13.03571429,300201,5.66,-10.58451817,4336,Sell,114921147.7392860
INOD,Innodata Inc.,,,,,5.81,-10.47765794,294019,5.76,-0.8605852,4948,Sell,159222460.9429890
IFRX,InflaRx N.V.,4.5,-0.88105727,0.88105727,4154,4.49,-1.10132159,286298,4.49,0,6852,Neutral,200719889.91630000
ORIC,"Oric Pharmaceuticals, Inc.",,,,,4.95,-4.44015444,281637,4.95,0,29934,Sell,223201498.2915060
CPS,Cooper-Standard Holdings Inc.,11.58,-7.80254777,-7.96178344,500,11.22,-10.66878981,281516,11.22,0,6065,Sell,191952085.16560500
ROOT,"Root, Inc.",4.2,1.20481928,1.44578313,2100,4.88,17.59036145,277464,4.88,0,13042,Buy,69932141.513253
TCBX,"Third Coast Bancshares, Inc.",,,,,12.99,-0.91533181,274666,12.99,0,6520,Sell,176397678.2471400
OLMA,"Olema Pharmaceuticals, Inc.",,,,,6.35,6.18729097,271965,6.35,0,6802,Strong Buy,258011577.45819400
BZUN,Baozun Inc.,4.47,1.36054422,1.13378685,396,4.55,3.17460317,264937,4.55,0,26489,Sell,191337603.2433
RRGB,"Red Robin Gourmet Burgers, Inc.",,,,,12.93,1.015625,261234,12.93,0,7363,Neutral,206706789.51796900
NEWT,"NewtekOne, Inc.",,,,,11.295,-3.5439795,260370,11.27,-0.22133687,6318,Sell,278055162.14218600
ALXO,ALX Oncology Holdings Inc.,,,,,6.35,3.75816993,257676,6.49,2.20472441,26325,Buy,259480377.87581700
MNTN,Everest Consolidator Acquisition Corporation,,,,,10.51,0,257635,,,,Buy,226621880
BWB,"Bridgewater Bancshares, Inc.",8.75,0.69044879,0.69044879,195,8.26,-4.94821634,256269,8.26,0,16380,Strong Sell,229265955.36018400
LOCC,Live Oak Crestview Climate Acquisition Corp.,,,,,10.16,0.09852217,251288,,,,Strong Buy,253999989.99014800
ABOS,"Acumen Pharmaceuticals, Inc.",,,,,4.05,1.75879397,244254,4.05,0,709,Buy,166151504.3969850
MG,Mistras Group Inc,,,,,6.76,-17.15686275,243483,6.8,0.59171598,7950,Sell,202305691.56862700
MPAA,"Motorcar Parts of America, Inc.",,,,,4.65,3.33333333,238887,4.65,0,14203,Sell,90634982.1
UFI,"Unifi, Inc. New",,,,,8.22,-8.05369128,234379,8.22,0,12663,Sell,148383372.29530200
KOD,Kodiak Sciences Inc,4.5,2.04081633,1.58730159,440,4.44,0.68027211,229141,4.56,2.7027027,23307,Sell,232373824.40816300
INBK,First Internet Bancorp,11.55,-0.08650519,-0.08650519,2000,10.94,-5.3633218,228575,10.94,0,17904,Sell,97906689.62629760
BLFY,Blue Foundry Bancorp,8.65,-1.02974828,-0.91533181,630,8.8,0.68649886,224694,8.8,0,13447,Sell,242151189.83981700
KLXE,"KLX Energy Services Holdings, Inc.",,,,,9.17,7.50293083,224614,9.17,0,2395,Sell,150459230.36694000
EFHT,EF Hutton Acquisition Corporation I,,,,,10.27,-0.09630444,223557,,,,Neutral,173387229.43803000
SHIP,Seanergy Maritime Holdings Corp,,,,,4.46,-3.67170626,219374,4.39,-1.56950673,2875,Strong Sell,89249587.87904970
UIHC,United Insurance Holdings Corp.,4.5,-2.17391304,0.43478261,834,4.33,-5.86956522,217231,4.1664,-3.77829099,1838,Buy,187373699.6304350
