time,open,high,low,close,volume
2023-02-17 17:00:00,19.82,19.82,19.82,19.82,1883
2023-02-17 16:00:00,19.935,19.955,19.78,19.84,36771
2023-02-17 15:00:00,19.985,20.015,19.93,19.94,28783
2023-02-17 14:00:00,19.98,20.01,19.97,19.985,14827
2023-02-17 13:00:00,19.97,20.02,19.93,19.99,28488
2023-02-17 12:00:00,19.92,20.01,19.92,19.95,12783
2023-02-17 11:00:00,19.97,20.03,19.92,19.92,32200
2023-02-17 10:00:00,19.87,19.93,19.78,19.93,13982
2023-02-16 17:00:00,19.83,19.83,19.83,19.83,2450
2023-02-16 16:00:00,19.95,19.96,19.81,19.81,58777
2023-02-16 15:00:00,19.91,19.96,19.91,19.96,8552
2023-02-16 14:00:00,19.8499,19.9,19.828,19.9,7755
2023-02-16 13:00:00,19.78,19.87,19.78,19.84,8292
2023-02-16 12:00:00,19.78,19.82,19.75,19.77,6430
2023-02-16 11:00:00,19.77,19.85,19.72,19.78,6302
2023-02-16 10:00:00,19.78,19.79,19.655,19.655,10415
2023-02-15 17:00:00,19.98,19.98,19.98,19.98,3584
2023-02-15 16:00:00,20.0,20.0,19.91,19.99,48860
2023-02-15 15:00:00,19.78,20.0,19.78,19.9905,34515
2023-02-15 14:00:00,19.65,19.78,19.64,19.77,2996
2023-02-15 13:00:00,19.66,19.67,19.58,19.6604,12402
2023-02-15 12:00:00,19.68,19.74,19.64,19.655,13301
2023-02-15 11:00:00,19.6,19.69,19.6,19.65,1919
2023-02-15 10:00:00,19.6,19.65,19.44,19.56,5319
2023-02-14 17:00:00,19.58,19.58,19.58,19.58,2150
2023-02-14 16:00:00,19.64,19.64,19.57,19.6,17017
2023-02-14 15:00:00,19.69,19.7,19.63,19.63,4237
2023-02-14 14:00:00,19.69,19.73,19.65,19.66,1786
2023-02-14 13:00:00,19.62,19.68,19.62,19.65,2061
2023-02-14 12:00:00,19.6,19.7,19.53,19.59,11235
2023-02-14 11:00:00,19.7,19.75,19.54,19.57,4919
2023-02-14 10:00:00,19.85,19.93,19.74,19.74,2904
2023-02-13 17:00:00,19.89,19.89,19.89,19.89,3056
2023-02-13 16:00:00,19.79,19.89,19.79,19.89,19378
2023-02-13 15:00:00,19.82,19.82,19.79,19.81,3348
2023-02-13 14:00:00,19.86,19.87,19.8,19.85,3179
2023-02-13 13:00:00,19.8832,19.8832,19.83,19.83,982
2023-02-13 12:00:00,19.88,19.97,19.82,19.86,5293
2023-02-13 11:00:00,19.78,19.895,19.78,19.87,3652
2023-02-13 10:00:00,19.75,19.84,19.64,19.78,4413
2023-02-10 17:00:00,19.74,19.74,19.74,19.74,799
2023-02-10 16:00:00,19.74,19.81,19.73,19.74,22605
2023-02-10 15:00:00,19.7,19.745,19.69,19.73,7175
2023-02-10 14:00:00,19.75,19.76,19.69,19.71,8835
2023-02-10 13:00:00,19.665,19.76,19.665,19.755,4764
2023-02-10 12:00:00,19.79,19.82,19.72,19.73,2288
2023-02-10 11:00:00,19.89,19.9088,19.79,19.81,4095
2023-02-10 10:00:00,19.82,19.99,19.82,19.88,3730
2023-02-09 17:00:00,19.87,19.87,19.87,19.87,1422
2023-02-09 16:00:00,19.8096,19.91,19.77,19.87,24103
2023-02-09 15:00:00,19.79,19.8799,19.7301,19.81,12657
2023-02-09 14:00:00,19.8772,19.8772,19.82,19.82,3305
2023-02-09 13:00:00,19.92,19.94,19.85,19.86,3830
2023-02-09 12:00:00,20.08,20.08,19.91,19.91,7407
2023-02-09 11:00:00,20.0857,20.15,20.025,20.07,7112
2023-02-09 10:00:00,20.19,20.24,20.0917,20.24,7710
2023-02-08 17:00:00,20.19,20.19,20.19,20.19,1096
2023-02-08 16:00:00,20.19,20.26,20.13,20.18,17206
2023-02-08 15:00:00,20.15,20.2,20.12,20.2,5164
2023-02-08 14:00:00,20.23,20.26,20.155,20.16,6881
2023-02-08 13:00:00,20.135,20.24,20.135,20.23,3006
2023-02-08 12:00:00,20.21,20.23,20.005,20.14,16293
2023-02-08 11:00:00,20.275,20.34,20.15,20.22,14396
2023-02-08 10:00:00,20.2,20.295,20.17,20.255,9847
2023-02-07 17:00:00,20.25,20.25,20.25,20.25,3983
2023-02-07 16:00:00,20.33,20.33,20.18,20.25,32073
2023-02-07 15:00:00,20.15,20.31,20.15,20.31,13333
2023-02-07 14:00:00,20.39,20.41,20.075,20.14,16555
2023-02-07 13:00:00,20.24,20.45,20.2,20.38,38429
2023-02-07 12:00:00,20.245,20.27,20.19,20.21,6220
2023-02-07 11:00:00,20.195,20.319,20.17,20.25,5182
2023-02-07 10:00:00,20.17,20.2275,20.105,20.22,4589
2023-02-06 17:00:00,20.19,20.19,20.19,20.19,1147
2023-02-06 16:00:00,20.175,20.25,20.15,20.19,24178
2023-02-06 15:00:00,20.21,20.21,20.14,20.1752,10112
2023-02-06 14:00:00,20.21,20.2242,20.15,20.21,9051
2023-02-06 13:00:00,20.22,20.28,20.1715,20.23,16448
2023-02-06 12:00:00,20.16,20.25,20.16,20.19,8953
2023-02-06 11:00:00,20.32,20.33,20.03,20.22,21509
2023-02-06 10:00:00,20.2,20.35,20.2,20.322,11144
2023-02-03 17:00:00,20.27,20.27,20.27,20.27,4603
2023-02-03 16:00:00,20.2,20.32,20.17,20.28,28539
2023-02-03 15:00:00,20.27,20.29,20.215,20.215,7364
2023-02-03 14:00:00,20.26,20.27,20.17,20.26,8732
2023-02-03 13:00:00,20.225,20.365,20.22,20.3,11338
2023-02-03 12:00:00,20.24,20.28,20.19,20.24,10667
2023-02-03 11:00:00,20.12,20.21,20.08,20.21,10740
2023-02-03 10:00:00,19.96,20.11,19.84,20.1,8278
2023-02-02 17:00:00,20.07,20.07,20.07,20.07,32977
2023-02-02 16:00:00,19.98,20.09,19.95,20.06,43762
2023-02-02 15:00:00,20.1163,20.13,19.97,19.97,13505
2023-02-02 14:00:00,20.21,20.21,20.11,20.11,15001
2023-02-02 13:00:00,20.07,20.21,20.035,20.21,9065
2023-02-02 12:00:00,20.11,20.25,20.0267,20.0267,20243
2023-02-02 11:00:00,19.62,20.14,19.6101,20.125,10245
2023-02-02 10:00:00,19.5,19.68,19.5,19.67,13114
2023-02-01 17:00:00,19.46,19.46,19.46,19.46,6425
2023-02-01 16:00:00,19.37,19.58,19.32,19.45,66129
2023-02-01 15:00:00,19.27,19.41,19.14,19.36,27180
2023-02-01 14:00:00,19.4,19.4,19.305,19.35,8413
2023-02-01 13:00:00,19.165,19.4,19.165,19.39,21561
2023-02-01 12:00:00,19.06,19.18,19.05,19.17,5195
2023-02-01 11:00:00,18.95,19.12,18.89,19.04,29872
2023-02-01 10:00:00,19.18,19.19,18.9775,19.04,15916
2023-01-31 17:00:00,19.18,19.19,19.18,19.19,4978
2023-01-31 16:00:00,18.925,19.2,18.925,19.19,40539
2023-01-31 15:00:00,18.89,19.075,18.88,18.94,147102
2023-01-31 14:00:00,18.92,18.92,18.82,18.89,11761
2023-01-31 13:00:00,18.9,18.97,18.82,18.91,19937
2023-01-31 12:00:00,18.75,18.92,18.74,18.91,20148
2023-01-31 11:00:00,18.69,18.76,18.65,18.74,14527
2023-01-31 10:00:00,18.7,18.82,18.66,18.72,8566
2023-01-30 17:00:00,18.66,18.66,18.66,18.66,4932
2023-01-30 16:00:00,18.77,18.81,18.65,18.67,41483
2023-01-30 15:00:00,18.963,18.98,18.78,18.785,10955
2023-01-30 14:00:00,19.06,19.115,18.95,18.95,9913
2023-01-30 13:00:00,18.94,19.05,18.9,19.05,13829
2023-01-30 12:00:00,18.96,19.11,18.93,18.93,15073
2023-01-30 11:00:00,18.69,19.19,18.69,18.94,35971
2023-01-30 10:00:00,18.45,18.8,18.45,18.68,9811
2023-01-27 20:00:00,18.4,18.4,18.4,18.4,108
2023-01-27 17:00:00,18.37,18.37,18.37,18.37,1777
2023-01-27 16:00:00,18.51,18.54,18.31,18.39,108205
2023-01-27 15:00:00,18.77,18.86,18.52,18.52,43221
2023-01-27 14:00:00,18.9,18.9,18.71,18.77,45804
2023-01-27 13:00:00,18.795,18.97,18.66,18.88,63701
2023-01-27 12:00:00,18.96,19.09,18.8,18.8,50350
2023-01-27 11:00:00,18.75,18.95,18.6,18.95,106606
2023-01-27 10:00:00,20.17,20.27,18.25,18.75,68360
2023-01-26 16:00:00,19.71,19.84,19.69,19.84,35254
2023-01-26 15:00:00,19.675,19.75,19.61,19.71,21065
2023-01-26 14:00:00,19.73,19.78,19.65,19.675,14484
2023-01-26 13:00:00,19.86,19.9,19.71,19.71,22453
2023-01-26 12:00:00,19.85,19.86,19.73,19.84,14444
2023-01-26 11:00:00,19.82,19.93,19.75,19.84,11950
2023-01-26 10:00:00,20.09,20.09,19.76,19.8,6338
2023-01-25 17:00:00,19.97,19.97,19.97,19.97,648
2023-01-25 16:00:00,19.94,20.0,19.91,19.96,35974
2023-01-25 15:00:00,19.95,20.01,19.91,19.93,3741
2023-01-25 14:00:00,19.77,19.97,19.755,19.94,10651
2023-01-25 13:00:00,19.92,19.92,19.76,19.76,5687
2023-01-25 12:00:00,20.03,20.03,19.92,19.925,5183
2023-01-25 11:00:00,20.14,20.22,20.01,20.025,6613
2023-01-25 10:00:00,20.15,20.21,20.15,20.2,6046
2023-01-24 17:00:00,20.21,20.21,20.21,20.21,1392
2023-01-24 16:00:00,20.325,20.33,20.2,20.2,42778
2023-01-24 15:00:00,20.25,20.315,20.25,20.315,9106
2023-01-24 14:00:00,20.2,20.26,20.2,20.255,3576
2023-01-24 13:00:00,20.26,20.27,20.21,20.21,1577
2023-01-24 12:00:00,20.39,20.46,20.26,20.29,6520
2023-01-24 11:00:00,20.17,20.407,20.17,20.407,5174
2023-01-24 10:00:00,20.22,20.35,20.15,20.1534,6077
2023-01-23 17:00:00,20.29,20.29,20.29,20.29,2242
2023-01-23 16:00:00,20.14,20.31,20.14,20.3,21294
2023-01-23 15:00:00,20.22,20.23,20.12,20.13,10035
2023-01-23 14:00:00,20.24,20.3,20.24,20.24,7734
2023-01-23 13:00:00,20.16,20.24,20.14,20.24,5684
2023-01-23 12:00:00,20.18,20.23,20.13,20.165,16969
2023-01-23 11:00:00,19.95,20.18,19.95,20.18,23051
2023-01-23 10:00:00,19.93,20.09,19.93,19.9423,5937
2023-01-20 17:00:00,19.97,19.97,19.97,19.97,2722
2023-01-20 16:00:00,19.91,20.01,19.86,19.97,38691
2023-01-20 15:00:00,19.85,19.9,19.8401,19.89,10680
2023-01-20 14:00:00,19.84,19.89,19.82,19.86,8840
2023-01-20 13:00:00,19.95,19.97,19.8322,19.85,8130
2023-01-20 12:00:00,19.91,20.0,19.91,19.93,9864
