date, open, high, low, close, volume,ticker
2023-05-16 19:00:00,7.9900,8.1900,7.9900,8.1400,2112,CXAI
2023-05-16 17:00:00,7.8900,8.2900,7.8900,8.1200,1325,CXAI
2023-05-16 16:00:00,8.0700,8.2300,7.8214,8.1200,68099,CXAI
2023-05-16 15:00:00,8.0700,8.1600,7.9200,7.9900,19697,CXAI
2023-05-16 14:00:00,8.2000,8.2597,8.0200,8.0400,20570,CXAI
2023-05-16 13:00:00,8.2900,8.2900,8.1500,8.2040,11846,CXAI
2023-05-16 12:00:00,8.3400,8.4500,8.2000,8.2100,49615,CXAI
2023-05-16 11:00:00,8.7750,8.8499,8.2600,8.4200,60309,CXAI
2023-05-16 10:00:00,8.4800,8.7500,8.4001,8.7500,33552,CXAI
2023-05-16 09:00:00,8.3100,8.4000,8.2700,8.2800,1900,CXAI
2023-05-16 05:00:00,8.5800,8.6000,8.5800,8.6000,355,CXAI
2023-05-15 20:00:00,8.6500,8.6500,8.6500,8.6500,520,CXAI
2023-05-15 19:00:00,8.7800,8.7800,8.6500,8.6500,621,CXAI
2023-05-15 18:00:00,8.6000,8.6501,8.6000,8.6501,3012,CXAI
2023-05-15 17:00:00,8.8000,8.8000,8.4061,8.5900,2045,CXAI
2023-05-15 16:00:00,8.7700,8.8000,8.3015,8.5900,122208,CXAI
2023-05-15 15:00:00,9.0750,9.1300,8.7145,8.7400,45166,CXAI
2023-05-15 14:00:00,8.7900,9.2799,8.7900,9.0700,133281,CXAI
2023-05-15 13:00:00,8.7615,8.8799,8.6500,8.8150,52746,CXAI
2023-05-15 12:00:00,8.7985,9.1600,8.7000,8.7600,173715,CXAI
2023-05-15 11:00:00,8.2600,8.8800,8.1200,8.7960,270877,CXAI
2023-05-15 10:00:00,8.4200,8.4200,7.7289,8.2600,89469,CXAI
2023-05-15 09:00:00,8.3900,8.5500,8.1100,8.4315,9592,CXAI
2023-05-15 08:00:00,8.2600,8.4200,8.1800,8.4200,3591,CXAI
2023-05-15 06:00:00,8.4100,8.4100,8.4100,8.4100,145,CXAI
2023-05-15 05:00:00,8.3600,8.3600,8.3600,8.3600,100,CXAI
2023-05-12 20:00:00,8.1100,8.2200,8.1100,8.1300,1763,CXAI
2023-05-12 19:00:00,8.0800,8.0800,8.0800,8.0800,1609,CXAI
2023-05-12 18:00:00,8.2400,8.2400,8.1000,8.2100,1990,CXAI
2023-05-12 17:00:00,8.2500,8.3800,8.0400,8.2000,5692,CXAI
2023-05-12 16:00:00,7.4200,8.6000,7.3900,8.5027,201929,CXAI
2023-05-12 15:00:00,7.2850,7.4685,7.2500,7.4400,30270,CXAI
2023-05-12 14:00:00,7.5285,7.5285,7.2800,7.2900,17338,CXAI
2023-05-12 13:00:00,7.5750,7.6185,7.3915,7.5200,16366,CXAI
2023-05-12 12:00:00,7.4515,7.6200,7.4515,7.5200,14791,CXAI
2023-05-12 11:00:00,7.8200,7.9025,7.3300,7.4500,65561,CXAI
2023-05-12 10:00:00,8.2815,8.3900,7.8800,7.8800,33807,CXAI
2023-05-12 09:00:00,8.4800,8.8585,7.9600,8.3900,19095,CXAI
2023-05-12 08:00:00,8.6400,8.7400,8.1800,8.4000,6158,CXAI
2023-05-12 07:00:00,8.7100,8.8200,8.6900,8.6900,1645,CXAI
2023-05-12 06:00:00,8.3200,8.8500,8.3100,8.6900,7500,CXAI
2023-05-12 05:00:00,8.2700,8.2800,8.2700,8.2800,460,CXAI
2023-05-11 20:00:00,8.3500,8.3500,8.2500,8.2900,3046,CXAI
2023-05-11 19:00:00,8.0800,8.3500,8.0000,8.0000,1001,CXAI
2023-05-11 18:00:00,8.0000,8.0200,8.0000,8.0200,1024,CXAI
2023-05-11 17:00:00,7.9000,8.0000,7.8500,8.0000,1567,CXAI
2023-05-11 16:00:00,7.9589,7.9900,7.7700,7.8500,25466,CXAI
2023-05-11 15:00:00,7.8910,7.9900,7.8500,7.8500,19576,CXAI
2023-05-11 14:00:00,7.9550,7.9900,7.8800,7.8800,6233,CXAI
2023-05-11 13:00:00,7.9601,8.0200,7.8600,7.9500,15190,CXAI
2023-05-11 12:00:00,7.9034,8.2000,7.9000,8.0600,24892,CXAI
2023-05-11 11:00:00,7.8751,8.1000,7.7800,7.9310,35935,CXAI
2023-05-11 10:00:00,8.3000,8.6500,7.7500,7.8500,63739,CXAI
2023-05-11 09:00:00,8.3800,8.5500,8.1500,8.4000,21755,CXAI
2023-05-11 08:00:00,8.2000,8.3000,8.1700,8.2400,1314,CXAI
2023-05-11 07:00:00,8.2900,8.2900,8.2900,8.2900,434,CXAI
2023-05-11 06:00:00,8.2300,8.2300,8.2100,8.2100,662,CXAI
2023-05-11 05:00:00,8.2700,8.2700,8.2700,8.2700,212,CXAI
2023-05-10 20:00:00,8.0000,8.0000,7.9200,7.9200,510,CXAI
2023-05-10 19:00:00,8.2500,8.2700,7.8000,8.2000,7711,CXAI
2023-05-10 18:00:00,8.2400,8.2700,8.1600,8.2600,5729,CXAI
2023-05-10 17:00:00,8.1400,8.2800,8.1400,8.1700,4785,CXAI
2023-05-10 16:00:00,8.0660,8.2872,7.9200,8.1400,66244,CXAI
2023-05-10 15:00:00,8.1500,8.3000,7.9300,8.0785,35443,CXAI
2023-05-10 14:00:00,8.2500,8.2700,8.0400,8.1242,20282,CXAI
2023-05-10 13:00:00,8.1300,8.2200,8.0100,8.1500,15601,CXAI
2023-05-10 12:00:00,8.1800,8.4300,7.9000,8.1000,61480,CXAI
2023-05-10 11:00:00,8.6000,8.8100,8.1010,8.2400,79694,CXAI
2023-05-10 10:00:00,9.0615,9.1900,8.3000,8.4700,90436,CXAI
2023-05-10 09:00:00,9.2900,9.2900,9.0600,9.0600,6572,CXAI
2023-05-10 08:00:00,9.2900,9.3300,9.1100,9.1100,781,CXAI
2023-05-10 07:00:00,9.3600,9.3600,9.0400,9.0400,1068,CXAI
2023-05-10 05:00:00,9.1200,9.1200,9.1200,9.1200,590,CXAI
2023-05-09 20:00:00,8.8100,8.9800,8.8100,8.9800,2430,CXAI
2023-05-09 19:00:00,9.0000,9.0000,8.5282,8.7600,15880,CXAI
2023-05-09 18:00:00,9.0000,9.0000,8.9800,8.9800,510,CXAI
2023-05-09 17:00:00,9.1885,9.1885,8.9200,9.1300,12516,CXAI
