t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,4.86,4.56,4.88,4.3,ok,82994.0,GAIA,,4.579999999999999,380112.51999999996,82994.0,4.579999999999999
1652227200,4.54,4.57,4.69,4.41,ok,89516.0,GAIA,,4.5566666666666675,407894.5733333334,172510.0,2.364469151546771
1652313600,4.45,4.43,4.6383,4.2717,ok,77357.0,GAIA,,4.446666666666666,343980.79333333333,249867.0,1.3766555540881082
1652400000,4.55,4.81,4.83,4.48,ok,48504.0,GAIA,,4.706666666666667,228292.16,298371.0,0.7651285145004039
1652659200,4.85,4.86,4.932,4.7,ok,21108.0,GAIA,,4.830666666666667,101965.712,319479.0,0.31916248642320777
1652745600,4.9,4.92,5.1,4.76,ok,169773.0,GAIA,,4.926666666666667,836414.98,489252.0,1.7095790717258181
1652832000,4.94,5.32,5.33,4.87,ok,103322.0,GAIA,,5.173333333333333,534519.1466666666,592574.0,0.9020293611712067
1652918400,5.2,5.23,5.49,5.14,ok,109228.0,GAIA,,5.286666666666666,577452.0266666666,701802.0,0.8228133101169085
1653004800,4.97,4.99,5.33,4.96,ok,420825.0,GAIA,,5.093333333333333,2143402.0,1122627.0,1.9092735164930115
1653264000,5.0,4.92,5.0,4.82,ok,39840.0,GAIA,,4.913333333333333,195747.19999999998,1162467.0,0.16838946826017426
1653350400,4.92,4.845,5.04,4.77,ok,18194.0,GAIA,,4.884999999999999,88877.68999999997,1180661.0,0.07527790788380405
1653436800,4.77,4.74,4.86,4.71,ok,22078.0,GAIA,,4.7700000000000005,105312.06000000001,1202739.0,0.08756019385752022
1653523200,4.79,4.9,5.04,4.75,ok,23805.0,GAIA,,4.8966666666666665,116565.15,1226544.0,0.0950354410441044
1653609600,4.92,5.0,5.07,4.88,ok,44171.0,GAIA,61.70212765957447,4.983333333333333,220118.81666666668,1270715.0,0.17322437892577539
1653955200,5.06,5.2,5.225,5.0,ok,57281.0,GAIA,65.38461538461539,5.141666666666667,294519.80833333335,1327996.0,0.22177763211134172
1654041600,5.14,4.82,5.1705,4.81,ok,130427.0,GAIA,55.10204081632653,4.9334999999999996,643461.6044999999,1458423.0,0.44120368679045785
1654128000,4.75,4.9,5.15,4.74,ok,16981.0,GAIA,59.83263598326361,4.930000000000001,83716.33000000002,1475404.0,0.05674129255444611
1654214400,4.88,5.14,5.17,4.88,ok,11705.0,GAIA,57.333333333333336,5.0633333333333335,59266.316666666666,1487109.0,0.03985337770578126
1654473600,5.17,5.01,5.17,4.8501,ok,70352.0,GAIA,53.21888412017166,5.010033333333333,352465.8650666667,1557461.0,0.22630798785116718
1654560000,4.8577,5.16,5.18,4.8577,ok,28305.0,GAIA,54.95867768595042,5.0659,143390.2995,1585766.0,0.09042336605779162
1654646400,5.16,5.19,5.23,5.04,ok,26489.0,GAIA,46.829268292682926,5.153333333333333,136506.64666666667,1612255.0,0.08466814906244152
1654732800,5.0306,4.88,5.1,4.78,ok,21140.0,GAIA,42.29074889867841,4.919999999999999,104008.79999999997,1633395.0,0.06367645303187532
1654819200,4.79,4.76,4.84,4.7,ok,24185.0,GAIA,44.65116279069767,4.766666666666667,115281.83333333333,1657580.0,0.06954827720733438
